
For lr 0.00001000 ,rs 1000.0000 and bs 300.000000 Train Accuracy 0.3516 and Validation Accuracy 0.3540
For lr 0.00001000 ,rs 1000.0000 and bs 600.000000 Train Accuracy 0.3323 and Validation Accuracy 0.3320
For lr 0.00001000 ,rs 1000.0000 and bs 1000.000000 Train Accuracy 0.2923 and Validation Accuracy 0.2920
For lr 0.00001000 ,rs 10000.0000 and bs 32.000000 Train Accuracy 0.2799 and Validation Accuracy 0.2875
For lr 0.00001000 ,rs 10000.0000 and bs 64.000000 Train Accuracy 0.3025 and Validation Accuracy 0.3045
For lr 0.00001000 ,rs 10000.0000 and bs 128.000000 Train Accuracy 0.3244 and Validation Accuracy 0.3275
For lr 0.00001000 ,rs 10000.0000 and bs 150.000000 Train Accuracy 0.3285 and Validation Accuracy 0.3340
For lr 0.00001000 ,rs 10000.0000 and bs 300.000000 Train Accuracy 0.3495 and Validation Accuracy 0.3505
For lr 0.00001000 ,rs 10000.0000 and bs 600.000000 Train Accuracy 0.3404 and Validation Accuracy 0.3395
For lr 0.00001000 ,rs 10000.0000 and bs 1000.000000 Train Accuracy 0.2942 and Validation Accuracy 0.2920
For lr 0.00001000 ,rs 100000.0000 and bs 32.000000 Train Accuracy 0.2465 and Validation Accuracy 0.2570
For lr 0.00001000 ,rs 100000.0000 and bs 64.000000 Train Accuracy 0.2669 and Validation Accuracy 0.2810
For lr 0.00001000 ,rs 100000.0000 and bs 128.000000 Train Accuracy 0.2798 and Validation Accuracy 0.2875
For lr 0.00001000 ,rs 100000.0000 and bs 150.000000 Train Accuracy 0.2821 and Validation Accuracy 0.2910
For lr 0.00001000 ,rs 100000.0000 and bs 300.000000 Train Accuracy 0.3073 and Validation Accuracy 0.3185
For lr 0.00001000 ,rs 100000.0000 and bs 600.000000 Train Accuracy 0.3271 and Validation Accuracy 0.3265
For lr 0.00001000 ,rs 100000.0000 and bs 1000.000000 Train Accuracy 0.2866 and Validation Accuracy 0.2790
For lr 0.00001000 ,rs 1000000.0000 and bs 32.000000 Train Accuracy 0.2384 and Validation Accuracy 0.2535
For lr 0.00001000 ,rs 1000000.0000 and bs 64.000000 Train Accuracy 0.2264 and Validation Accuracy 0.2440
For lr 0.00001000 ,rs 1000000.0000 and bs 128.000000 Train Accuracy 0.2421 and Validation Accuracy 0.2475
For lr 0.00001000 ,rs 1000000.0000 and bs 150.000000 Train Accuracy 0.2150 and Validation Accuracy 0.2225
For lr 0.00001000 ,rs 1000000.0000 and bs 300.000000 Train Accuracy 0.2226 and Validation Accuracy 0.2265
For lr 0.00001000 ,rs 1000000.0000 and bs 600.000000 Train Accuracy 0.2415 and Validation Accuracy 0.2500
For lr 0.00001000 ,rs 1000000.0000 and bs 1000.000000 Train Accuracy 0.2679 and Validation Accuracy 0.2590
For lr 0.00001000 ,rs 10000000.0000 and bs 32.000000 Train Accuracy 0.0752 and Validation Accuracy 0.0830
For lr 0.00001000 ,rs 10000000.0000 and bs 64.000000 Train Accuracy 0.0770 and Validation Accuracy 0.0805
For lr 0.00001000 ,rs 10000000.0000 and bs 128.000000 Train Accuracy 0.0729 and Validation Accuracy 0.0860
For lr 0.00001000 ,rs 10000000.0000 and bs 150.000000 Train Accuracy 0.0684 and Validation Accuracy 0.0750
For lr 0.00001000 ,rs 10000000.0000 and bs 300.000000 Train Accuracy 0.0909 and Validation Accuracy 0.0875
For lr 0.00001000 ,rs 10000000.0000 and bs 600.000000 Train Accuracy 0.1781 and Validation Accuracy 0.1775
For lr 0.00001000 ,rs 10000000.0000 and bs 1000.000000 Train Accuracy 0.1747 and Validation Accuracy 0.1765
For lr 0.00001000 ,rs 0.1000 and bs 32.000000 Train Accuracy 0.2820 and Validation Accuracy 0.2860
For lr 0.00001000 ,rs 0.1000 and bs 64.000000 Train Accuracy 0.3074 and Validation Accuracy 0.3090
For lr 0.00001000 ,rs 0.1000 and bs 128.000000 Train Accuracy 0.3313 and Validation Accuracy 0.3275
For lr 0.00001000 ,rs 0.1000 and bs 150.000000 Train Accuracy 0.3358 and Validation Accuracy 0.3360
For lr 0.00001000 ,rs 0.1000 and bs 300.000000 Train Accuracy 0.3510 and Validation Accuracy 0.3555
For lr 0.00001000 ,rs 0.1000 and bs 600.000000 Train Accuracy 0.3317 and Validation Accuracy 0.3330
For lr 0.00001000 ,rs 0.1000 and bs 1000.000000 Train Accuracy 0.2922 and Validation Accuracy 0.2910
For lr 0.00001000 ,rs 0.0100 and bs 32.000000 Train Accuracy 0.2815 and Validation Accuracy 0.2865
For lr 0.00001000 ,rs 0.0100 and bs 64.000000 Train Accuracy 0.3082 and Validation Accuracy 0.3085
For lr 0.00001000 ,rs 0.0100 and bs 128.000000 Train Accuracy 0.3310 and Validation Accuracy 0.3265
For lr 0.00001000 ,rs 0.0100 and bs 150.000000 Train Accuracy 0.3355 and Validation Accuracy 0.3350
